"","sample_name","cluster_id","cluster_label","cluster_color","class_label","class_color","class_id","species_label","species_color","species_id","org_cl.id","donor","roi","gender.x","age","species","roi_color","dissection_roi","cluster_label.int","seurat_clusters","batch","facs_container","sample_name.y","gender.y","cell_prep_type","facs_population_plan","total_reads","percent_reads_aligned_to_exons","percent_reads_aligned_to_rrna","percent_reads_aligned_to_trna","percent_reads_aligned_to_rrna_rmsk","percent_reads_aligned_to_trna_rmsk","percent_reads_aligned_to_ncrna","percent_reads_aligned_to_mt_exons","percent_reads_aligned_to_introns","percent_reads_aligned_to_intergenic","percent_reads_aligned_unique","percent_reads_aligned_to_ecoli","percent_reads_aligned_to_synthetic_constructs","percent_reads_aligned_total","complexity_cg","Genes.With.FPKM","Genes.Detected","Genes.With.CPM","Genes.Detected.CPM","old.cluster","old.class","donor_color","roi_ap","donor_roi","roi_ap_color","org_cl.lab"
"1","SM-GE67A_S097_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_059","F2S4_180131_059_A01","M","Nuclei","NeuN-positive",1259043,13.06651163,0.006592309,7.94e-05,0.006592309,0,0,0,40.34167221,22.51400468,67.81769963,0.020318607,0.018836529,73.78365949,0.438228934,3511,3390,8465,8465,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"2","SM-GE67A_S098_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_059","F2S4_180131_059_B01","M","Nuclei","NeuN-positive",1428667,17.10797548,0.013019129,0.003499766,0.012949134,0.002519831,0,0,41.70370002,27.0896577,74.6456662,0.005964301,0.005605925,79.81090065,0.379602342,8112,7795,13280,13280,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"3","SM-GE67A_S099_E1-50",3,"GABA3","#FF88AD","GABA","#f02864",1,"Macaque","#939598",1,1,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","GABA3_M","3","R8S4-180307","F2S4_180131_059","F2S4_180131_059_C01","M","Nuclei","NeuN-positive",1452917,9.633241266,0.000619444,0.000412962,0.000619444,0.000206481,0,0,47.53162087,22.19858395,69.39900903,0.006860681,0.004480641,73.60805882,0.372906682,6584,6457,13610,13610,NA,NA,NA,NA,NA,NA,NA
"4","SM-GE67A_S100_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_059","F2S4_180131_059_D01","M","Nuclei","NeuN-positive",1491860,13.31639698,0.005362433,0.001206548,0.005362433,0.001005456,0,6.7e-05,51.17826069,24.94456584,80.24238199,0.004033891,0.003559986,84.12176746,0.331091436,7114,6929,12116,12116,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"5","SM-GE67A_S101_E1-50",7,"K1","#1e633b","Glut","#00ADEE",2,"Macaque","#939598",1,5,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","K1_M","1","R8S4-180307","F2S4_180131_059","F2S4_180131_059_E01","M","Nuclei","NeuN-positive",1074611,11.23578672,0.006607042,0.000651399,0.006607042,0.000651399,0,0,53.26885729,26.04291227,81.14005905,0.004170812,0.003422634,85.07441297,0.330038061,6891,6832,11956,11956,"LGN Exc PRKCG SYNDIG1L","Glutamatergic",NA,NA,NA,NA,NA
"6","SM-GE67A_S102_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_059","F2S4_180131_059_F01","M","Nuclei","NeuN-positive",1497078,11.82670509,0.004542182,0.001001952,0.004542182,0.000868358,0,0,53.18907899,24.56431796,79.76591734,0.004547525,0.002935719,83.65489307,0.327769096,6910,6726,12324,12324,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"7","SM-GE67A_S103_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_059","F2S4_180131_059_G01","M","Nuclei","NeuN-positive",1126745,11.4964788,0.009052625,0.001242517,0.008963874,0.00071001,0,0,52.04318635,25.33758748,79.6455276,0.005909057,0.008416279,84.15346862,0.339477383,6055,5983,11132,11132,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"8","SM-GE67A_S104_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_059","F2S4_180131_059_H01","M","Nuclei","NeuN-positive",1597432,18.95248123,0.003630827,0.001690213,0.003630827,0.00131461,0,0,46.86039844,24.84055659,80.15777823,0.004631183,0.005630287,84.96693443,0.338276154,7879,7501,12349,10363,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"9","SM-GE67A_S113_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_060","F2S4_180131_060_A01","M","Nuclei","NeuN-positive",1201981,22.7070977,0.004658975,0.001081548,0.004658975,0.000665568,0,0,35.21594767,25.67469868,71.86203442,0.005083275,0.004380269,76.60636899,0.410570643,9049,8678,12422,12422,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"10","SM-GE67A_S114_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_060","F2S4_180131_060_B01","M","Nuclei","NeuN-positive",1243268,20.64196939,0.022682157,0.000563032,0.022682157,0.000482599,0,0,44.53561099,24.56582169,81.6128944,0.006519914,0.011436794,86.37783648,0.335726288,5569,5345,9657,9657,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
