"","sample_name","cluster_id","cluster_label","cluster_color","class_label","class_color","class_id","species_label","species_color","species_id","org_cl.id","donor","roi","gender.x","age","species","roi_color","dissection_roi","cluster_label.int","seurat_clusters","batch","facs_container","sample_name.y","gender.y","cell_prep_type","facs_population_plan","total_reads","percent_reads_aligned_to_exons","percent_reads_aligned_to_rrna","percent_reads_aligned_to_trna","percent_reads_aligned_to_rrna_rmsk","percent_reads_aligned_to_trna_rmsk","percent_reads_aligned_to_ncrna","percent_reads_aligned_to_mt_exons","percent_reads_aligned_to_introns","percent_reads_aligned_to_intergenic","percent_reads_aligned_unique","percent_reads_aligned_to_ecoli","percent_reads_aligned_to_synthetic_constructs","percent_reads_aligned_total","complexity_cg","Genes.With.FPKM","Genes.Detected","Genes.With.CPM","Genes.Detected.CPM","old.cluster","old.class","donor_color","roi_ap","donor_roi","roi_ap_color","org_cl.lab"
"11","SM-GE67A_S115_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_060","F2S4_180131_060_C01","M","Nuclei","NeuN-positive",1156102,11.65995734,0.007525288,0.002681424,0.007525288,0.001556956,0,0,50.25058343,26.22839507,76.90696842,0.005583417,0.006638688,81.7143297,0.37072908,6021,5912,11503,11503,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"12","SM-GE67A_S116_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_060","F2S4_180131_060_D01","M","Nuclei","NeuN-positive",1407401,16.83457664,0.011865843,0.00071053,0.011865843,0.000426318,0,0,48.57471325,23.69729736,80.57660894,0.00654753,0.015717624,85.78813004,0.335024954,5182,4978,10194,10194,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"13","SM-GE67A_S117_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_060","F2S4_180131_060_E01","M","Nuclei","NeuN-positive",1313836,20.29857608,0.001598373,0.001598373,0.001598373,0.000913356,0,0.000228339,43.44758402,25.82339044,79.33630986,0.003656469,0.004332352,83.74317647,0.350844776,8804,8456,13000,13000,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"14","SM-GE67A_S118_E1-50",7,"K1","#1e633b","Glut","#00ADEE",2,"Macaque","#939598",1,5,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","K1_M","1","R8S4-180307","F2S4_180131_060","F2S4_180131_060_F01","M","Nuclei","NeuN-positive",903147,15.07019345,0.006089817,0.000664344,0.006089817,0.00055362,0,0,48.41138818,25.53294203,79.54552249,0.009964048,0.004101215,84.15584617,0.34438168,6838,6763,11250,11250,"LGN Exc PRKCG SYNDIG1L","Glutamatergic",NA,NA,NA,NA,NA
"15","SM-GE67A_S119_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_060","F2S4_180131_060_G01","M","Nuclei","NeuN-positive",1003923,13.09333485,0.005578117,0,0.005578117,0,0,0,50.1467742,24.20554166,77.22006568,0.016217379,0.005247414,82.53322217,0.357380079,6660,6572,11474,11474,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"16","SM-GE67A_S120_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_060","F2S4_180131_060_H01","M","Nuclei","NeuN-positive",1580690,12.36700428,0.006073297,0.001138743,0.006073297,0.000632635,0,0,54.24517141,23.98983988,81.12229469,0.004119087,0.003091055,85.04615073,0.31661281,6922,6732,12281,10260,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"17","SM-GE67B_S001_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_061","F2S4_180131_061_A01","M","Nuclei","NeuN-positive",1053012,16.56514836,0.006267735,0.001899314,0.006267735,0.001424485,0,0,51.44670716,23.14285117,82.23458042,0.004387414,0.003441556,86.02893414,0.316923066,7254,7103,11441,11441,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"18","SM-GE67B_S002_E1-50",7,"K1","#1e633b","Glut","#00ADEE",2,"Macaque","#939598",1,5,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","K1_M","0","R8S4-180307","F2S4_180131_061","F2S4_180131_061_B01","M","Nuclei","NeuN-positive",1070658,10.66232168,0.004203023,0.001587809,0.004203023,0.000373602,0,0,53.28498923,25.10512227,80.16275972,0.00435153,0.003437139,83.95566091,0.336193674,6290,6249,11323,11323,"LGN Exc PRKCG SYNDIG1L","Glutamatergic",NA,NA,NA,NA,NA
"19","SM-GE67B_S003_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_061","F2S4_180131_061_C01","M","Nuclei","NeuN-positive",966074,16.03935102,0.004554517,0.000310535,0.004554517,0.000310535,0,0,48.7408832,24.29617193,79.40768513,0.00330927,0.00427607,83.44453945,0.328258057,7954,7818,12386,12386,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"20","SM-GE67B_S004_E1-50",3,"GABA3","#FF88AD","GABA","#f02864",1,"Macaque","#939598",1,1,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","GABA3_M","3","R8S4-180307","F2S4_180131_061","F2S4_180131_061_D01","M","Nuclei","NeuN-positive",1020050,14.09421107,0.001372482,0.001470516,0.001372482,0.001176413,0,0,57.76216852,19.70501446,83.30287731,0.004628204,0.003210627,86.6797706,0.302634279,6277,6198,10663,10663,"LGN Inh DSEL","GABAergic",NA,NA,NA,NA,NA
"21","SM-GE67B_S005_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_061","F2S4_180131_061_E01","M","Nuclei","NeuN-positive",988282,15.14132606,0.003339128,0.001618971,0.003339128,0.001315414,0,0,49.37507715,24.34983132,79.39333105,0.005072439,0.004080819,83.50420224,0.334260421,7089,6990,11455,11455,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"22","SM-GE67B_S006_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_061","F2S4_180131_061_F01","M","Nuclei","NeuN-positive",1049377,13.6298013,0.00390708,9.53e-05,0.00390708,9.53e-05,0,0.000857652,52.27997183,23.90751846,80.40084736,0.005488971,0.003983316,84.52214981,0.33101429,6476,6383,11231,11231,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"23","SM-GE67B_S007_E1-50",7,"K1","#1e633b","Glut","#00ADEE",2,"Macaque","#939598",1,5,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","K1_M","1","R8S4-180307","F2S4_180131_061","F2S4_180131_061_G01","M","Nuclei","NeuN-positive",1015102,19.3463317,0.006797346,0.001773221,0.006797346,0.001576196,0,0,42.88702022,26.37468944,78.97964934,0.005675292,0.005681202,83.49436805,0.352273644,7377,7178,11598,11598,"LGN Exc PRKCG SYNDIG1L","Glutamatergic",NA,NA,NA,NA,NA
"24","SM-GE67B_S008_E1-50",10,"Low Quality","#444444","Low Quality","#000000",0,"Macaque","#939598",1,10,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","Low Quality_M",NA,"R8S4-180307","F2S4_180131_061","F2S4_180131_061_H01","M","Nuclei","NeuN-positive",769003,9.904252649,0.000260077,0.000130039,0.000130039,0.000130039,0,0,5.17514236,21.47897993,21.92761277,0.080939866,0.11124534,43.87304081,0.853646335,1335,1326,4184,4184,NA,NA,NA,NA,NA,NA,NA
"25","SM-GE67B_S009_E1-50",5,"M","#90caf9","Glut","#00ADEE",2,"Macaque","#939598",1,7,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","M_M","0","R8S4-180307","F2S4_180131_062","F2S4_180131_062_A01","M","Nuclei","NeuN-positive",1070957,11.70065652,0.004948845,0.000373498,0.004948845,0.000186749,0,0,53.81243131,24.42880526,80.9872852,0.004838663,0.004117812,84.87745073,0.318959853,6675,6600,11716,11716,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"26","SM-GE67B_S010_E1-50",10,"Low Quality","#444444","Low Quality","#000000",0,"Macaque","#939598",1,10,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","Low Quality_M",NA,"R8S4-180307","F2S4_180131_062","F2S4_180131_062_B01","M","Nuclei","NeuN-positive",792872,10.59717079,0.001261238,0,0.001135114,0,0,0,6.450221473,31.68556841,25.08563803,0.057769728,0.085354256,45.64948693,0.847990633,1428,1422,4443,4443,NA,NA,NA,NA,NA,NA,NA
"27","SM-GE67B_S011_E1-50",2,"GABA2","#DD6091","GABA","#f02864",1,"Macaque","#939598",1,2,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","GABA2_M","6","R8S4-180307","F2S4_180131_062","F2S4_180131_062_C01","M","Nuclei","NeuN-positive",968333,15.8672688,0.000929432,0.000929432,0.000929432,0.000929432,0,0,55.67970936,20.52775233,83.6969307,0.003476077,0.003341826,87.14677699,0.306091393,6824,6718,11086,11086,"LGN Inh DFNB31","GABAergic",NA,NA,NA,NA,NA
"28","SM-GE67B_S012_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_062","F2S4_180131_062_D01","M","Nuclei","NeuN-positive",957754,14.36276956,0.005220547,0.000313233,0.005220547,0.000208822,0,0,52.19805921,23.17745475,80.84288867,0.003794294,0.002908889,84.47722484,0.325813096,6754,6665,11269,11269,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"29","SM-GE67B_S013_E1-50",2,"GABA2","#DD6091","GABA","#f02864",1,"Macaque","#939598",1,2,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","GABA2_M","6","R8S4-180307","F2S4_180131_062","F2S4_180131_062_E01","M","Nuclei","NeuN-positive",939628,12.88137433,0.001277101,0.004044154,0.001277101,0.003405603,0,0,51.26890642,20.80993755,77.30857318,0.008556578,0.019548162,82.54138872,0.354439168,3621,3580,8041,8041,"LGN Inh DFNB31","GABAergic",NA,NA,NA,NA,NA
"30","SM-GE67B_S014_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_062","F2S4_180131_062_F01","M","Nuclei","NeuN-positive",945603,14.94876814,0.024851867,0.000528763,0.024851867,0.000317258,0,0,46.53464509,24.35176284,76.29142463,0.006382171,0.017079049,81.75090392,0.374429452,4265,4192,9016,9016,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"31","SM-GE67B_S015_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_062","F2S4_180131_062_G01","M","Nuclei","NeuN-positive",991112,11.5782071,0.006760084,0.000605381,0.006760084,0.000504484,0,0,50.02643495,26.67337294,77.58184746,0.005490802,0.006191026,82.1606438,0.360452961,5741,5684,11343,11343,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"32","SM-GE67B_S016_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_062","F2S4_180131_062_H01","M","Nuclei","NeuN-positive",1041387,16.85242854,0.006433727,0.002016541,0.006433727,0.001632438,0,0,50.22772514,23.0560781,80.70064251,0.003840071,0.003419478,84.62838503,0.322740271,7614,7441,11998,11998,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"33","SM-GE67B_S097_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_038","F2S4_180131_038_A01","M","Nuclei","NeuN-positive",1047496,12.31030954,0.006491672,0.004295959,0.006491672,0.003532233,0,0,54.27934808,21.82776832,79.26149599,0.005388087,0.003448223,83.12279951,0.333127507,6505,6433,11641,11641,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"34","SM-GE67B_S098_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_038","F2S4_180131_038_B01","M","Nuclei","NeuN-positive",1126307,16.50526899,0.010743074,0.003373858,0.010743074,0.002219643,0,0,47.37243043,25.32923972,79.35349776,0.005053684,0.004432184,83.71474207,0.334610921,6688,6527,11552,11552,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"35","SM-GE67B_S099_E1-50",10,"Low Quality","#444444","Low Quality","#000000",0,"Macaque","#939598",1,10,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","Low Quality_M",NA,"R8S4-180307","F2S4_180131_038","F2S4_180131_038_C01","M","Nuclei","NeuN-positive",937813,9.630597998,0.01898033,0,0.01898033,0,0,0,10.81761503,41.73987778,33.09721661,0.020308953,0.025086025,46.52430708,0.785645073,3343,3312,8046,8046,NA,NA,NA,NA,NA,NA,NA
"36","SM-GE67B_S100_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_038","F2S4_180131_038_D01","M","Nuclei","NeuN-positive",1049938,11.72735914,0.00485743,0.000952437,0.00485743,0.000666706,0,0,53.17837815,24.77184367,80.57666262,0.004136435,0.003713553,84.40593635,0.32082705,6584,6526,11637,11637,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"37","SM-GE67B_S101_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_038","F2S4_180131_038_E01","M","Nuclei","NeuN-positive",1233867,12.91006243,0.009482383,0.000324184,0.009482383,0.000162092,0,0,50.73618145,24.37539865,78.4080456,0.005246919,0.004588825,82.79855122,0.350600228,6795,6651,11843,11843,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"38","SM-GE67B_S102_E1-50",10,"Low Quality","#444444","Low Quality","#000000",0,"Macaque","#939598",1,10,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","Low Quality_M",NA,"R8S4-180307","F2S4_180131_038","F2S4_180131_038_F01","M","Nuclei","NeuN-positive",990382,10.92063466,0.012116537,0.011005854,0.012116537,0.006967009,0,0,28.57624634,37.84630577,54.32196869,0.024125035,0.053473306,68.47650704,0.574587353,2989,2941,8300,8300,NA,NA,NA,NA,NA,NA,NA
"39","SM-GE67B_S103_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_038","F2S4_180131_038_G01","M","Nuclei","NeuN-positive",1084217,11.15523922,0.003873763,0.000276697,0.003873763,0.000184465,0,0.00073786,52.54483189,25.22068922,79.89738217,0.004762884,0.003515901,83.67882075,0.330085652,6825,6771,11907,11907,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"40","SM-GE67B_S104_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_038","F2S4_180131_038_H01","M","Nuclei","NeuN-positive",1111430,11.63186166,0.005398451,0.000449871,0.005398451,0.000449871,0,0,52.67286289,24.6316907,79.11654355,0.004787526,0.003751023,83.28108833,0.331646267,6686,6620,11658,11658,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"41","SM-GE67D_S001_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_063","F2S4_180131_063_A01","M","Nuclei","NeuN-positive",986342,12.50773058,0.005069236,0.000608308,0.005069236,0.000405539,0,0.001419386,49.23860081,25.7746299,78.2230707,0.003726902,0.006398389,82.64293724,0.34914519,6045,5962,11047,11047,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"42","SM-GE67D_S002_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_063","F2S4_180131_063_B01","M","Nuclei","NeuN-positive",1064556,16.51796618,0.006669447,0.000657551,0.006669447,0.000563615,0,0,44.36826245,23.71486329,75.47249745,0.005459553,0.004041121,79.4106651,0.358830352,7711,7542,12211,12211,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"43","SM-GE67D_S003_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_063","F2S4_180131_063_C01","M","Nuclei","NeuN-positive",1006658,12.46808747,0.006755025,0.001688756,0.006755025,0.00139074,0,0,52.8429715,25.2770057,80.64258169,0.002773534,0.003631819,84.64245056,0.316614678,6478,6405,11696,11696,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"44","SM-GE67D_S004_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","2","R8S4-180307","F2S4_180131_063","F2S4_180131_063_D01","M","Nuclei","NeuN-positive",1128245,13.49733436,0.006824759,0,0.006824759,0,0,0,52.16437919,24.25155884,80.48907817,0.003148252,0.005376492,84.70252472,0.332497541,5985,5866,10733,10733,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
"45","SM-GE67D_S005_E1-50",6,"P","#0d47a1","Glut","#00ADEE",2,"Macaque","#939598",1,8,"Q18.27.001","Macaque LGN Parvocellular","M","2.8 yrs","M. nemestrina","#FF7F00","PC","P_M","0","R8S4-180307","F2S4_180131_063","F2S4_180131_063_E01","M","Nuclei","NeuN-positive",1096892,15.30670294,0.004011334,0.001641,0.004011334,0.001276333,0,0.000364667,48.03070858,26.10256981,79.57474391,0.002949242,0.002786965,83.60713726,0.343826045,8072,7926,12709,12709,"LGN Exc IL15RA","Glutamatergic",NA,NA,NA,NA,NA
